trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b,,,,,,,net_profit_per_share
57,2025-07-06T01:31:02.672564+00:00,same_outcome,0.1831,58,10.62,0.98,Houston vs Los Angeles (LAD),Polymarket,BUY,0.2,Houston vs Los Angeles (LAD),Kalshi,SELL,0.4,,0.026324708,,58,0.183103448,58,0.1831
133,2025-07-06T02:03:19.355195+00:00,same_outcome,0.1187,62,7.36,0.7,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2,,,,120,0.149833333,120,0.1187
131,2025-07-06T02:03:19.292274+00:00,same_outcome,0.1092,191,20.86,2.06,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.19,,,,311,0.12488746,311,0.1092
74,2025-07-06T01:35:51.557589+00:00,same_outcome,0.109,10,1.09,0.11,Houston vs Los Angeles (HOU),Kalshi,BUY,0.82,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,321,0.124392523,321,0.109
76,2025-07-06T01:35:54.032970+00:00,same_outcome,0.105,2,0.21,0.03,Houston vs Los Angeles (HOU),Kalshi,BUY,0.82,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,323,0.124272446,323,0.105
77,2025-07-06T01:35:54.453498+00:00,same_outcome,0.1001,900,90.11,8.89,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,1223,0.106500409,1223,0.1001
134,2025-07-06T02:03:19.391187+00:00,same_outcome,0.0997,201,20.03,2.08,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.18,,,,1424,0.105533708,1424,0.0997
39,2025-07-06T01:25:36.967636+00:00,same_outcome,0.096,1226,117.74,21.26,Houston vs Los Angeles (LAD),Polymarket,BUY,0.4353,Houston vs Los Angeles (LAD),Kalshi,SELL,0.5487,,,,2650,0.101139623,2650,0.096
7,2025-07-06T00:34:17.782176+00:00,same_outcome,0.0933,12,1.12,0.2,Houston vs Los Angeles (LAD),Polymarket,BUY,0.27,Houston vs Los Angeles (LAD),Kalshi,SELL,0.38,,,,2662,0.101104433,2662,0.0933
60,2025-07-06T01:31:03.033211+00:00,same_outcome,0.0932,1392,129.73,23.39,Houston vs Los Angeles (HOU),Kalshi,BUY,0.6,Houston vs Los Angeles (HOU),Polymarket,SELL,0.71,,,,4054,0.098389245,4054,0.0932
