trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b
1,2025-07-06T00:21:02.464526+00:00,same_outcome,0.0061,272.00,1.66,3.58,Houston vs Los Angeles (HOU),Polymarket,BUY,0.7300,Houston vs Los Angeles (HOU),Kalshi,SELL,0.7493
2,2025-07-06T00:29:26.584701+00:00,same_outcome,0.0014,446.00,0.62,7.17,Detroit vs Cleveland (CLE),Polymarket,BUY,0.3389,Detroit vs Cleveland (CLE),Kalshi,SELL,0.3563
3,2025-07-06T00:34:08.766304+00:00,same_outcome,-0.0178,3742.78,-66.70,51.93,Houston vs Los Angeles (LAD),Polymarket,BUY,0.2763,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2724
4,2025-07-06T00:34:08.964281+00:00,same_outcome,-0.0076,2230.45,-16.96,30.81,Houston vs Los Angeles (HOU),Kalshi,BUY,0.7296,Houston vs Los Angeles (HOU),Polymarket,SELL,0.7358
5,2025-07-06T00:34:10.045089+00:00,same_outcome,-0.0046,1301.45,-6.04,20.99,Houston vs Los Angeles (LAD),Polymarket,BUY,0.3485,Houston vs Los Angeles (LAD),Kalshi,SELL,0.3600
6,2025-07-06T00:34:10.184396+00:00,same_outcome,-0.0187,2813.78,-52.70,42.55,Houston vs Los Angeles (HOU),Kalshi,BUY,0.6843,Houston vs Los Angeles (HOU),Polymarket,SELL,0.6807
7,2025-07-06T00:34:14.848486+00:00,same_outcome,-0.0021,699.77,-1.50,9.92,Houston vs Los Angeles (LAD),Polymarket,BUY,0.2700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2820
8,2025-07-06T00:34:14.848979+00:00,same_outcome,-0.0100,173.77,-1.74,2.42,Houston vs Los Angeles (HOU),Kalshi,BUY,0.7261,Houston vs Los Angeles (HOU),Polymarket,SELL,0.7300
9,2025-07-06T00:34:15.304754+00:00,same_outcome,0.0830,10.00,0.83,0.17,Houston vs Los Angeles (HOU),Kalshi,BUY,0.6300,Houston vs Los Angeles (HOU),Polymarket,SELL,0.7300
10,2025-07-06T00:34:15.362693+00:00,same_outcome,0.0830,10.00,0.83,0.17,Houston vs Los Angeles (LAD),Polymarket,BUY,0.2700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.3700
11,2025-07-06T00:34:15.542102+00:00,same_outcome,-0.0085,72.00,-0.61,1.01,Houston vs Los Angeles (HOU),Kalshi,BUY,0.7244,Houston vs Los Angeles (HOU),Polymarket,SELL,0.7300
12,2025-07-06T00:34:16.948625+00:00,same_outcome,0.0708,260.00,18.42,4.18,Houston vs Los Angeles (LAD),Polymarket,BUY,0.2700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.3569
13,2025-07-06T00:34:17.644461+00:00,same_outcome,0.0800,2.00,0.16,0.04,Houston vs Los Angeles (LAD),Polymarket,BUY,0.2700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.3700
14,2025-07-06T00:34:17.782176+00:00,same_outcome,0.0933,12.00,1.12,0.20,Houston vs Los Angeles (LAD),Polymarket,BUY,0.2700,Houston vs Los Angeles (LAD),Kalshi,SELL,0.3800
15,2025-07-06T00:38:32.811291+00:00,same_outcome,0.0233,100.00,2.33,1.67,Detroit vs Cleveland (DET),Kalshi,BUY,0.6100,Detroit vs Cleveland (DET),Polymarket,SELL,0.6500
16,2025-07-06T00:38:32.831248+00:00,same_outcome,0.0331,100.00,3.31,1.69,Detroit vs Cleveland (DET),Kalshi,BUY,0.6000,Detroit vs Cleveland (DET),Polymarket,SELL,0.6500
17,2025-07-06T00:38:32.849902+00:00,same_outcome,0.0233,100.00,2.33,1.67,Detroit vs Cleveland (DET),Kalshi,BUY,0.6100,Detroit vs Cleveland (DET),Polymarket,SELL,0.6500
18,2025-07-06T00:38:32.870628+00:00,same_outcome,0.0642,1895.20,121.70,33.05,Detroit vs Cleveland (CLE),Polymarket,BUY,0.3883,Detroit vs Cleveland (CLE),Kalshi,SELL,0.4700
19,2025-07-06T00:38:33.030260+00:00,same_outcome,0.0331,62.00,2.05,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.6000,Detroit vs Cleveland (DET),Polymarket,SELL,0.6500
20,2025-07-06T00:38:33.070254+00:00,same_outcome,0.0625,8.00,0.50,0.14,Detroit vs Cleveland (DET),Kalshi,BUY,0.5700,Detroit vs Cleveland (DET),Polymarket,SELL,0.6500
21,2025-07-06T00:38:33.170798+00:00,same_outcome,0.0331,62.00,2.05,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.6000,Detroit vs Cleveland (DET),Polymarket,SELL,0.6500
22,2025-07-06T00:38:33.632425+00:00,same_outcome,0.0331,62.00,2.05,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.6000,Detroit vs Cleveland (DET),Polymarket,SELL,0.6500
23,2025-07-06T00:38:33.830321+00:00,same_outcome,0.0331,100.00,3.31,1.69,Detroit vs Cleveland (DET),Kalshi,BUY,0.6000,Detroit vs Cleveland (DET),Polymarket,SELL,0.6500
24,2025-07-06T00:38:33.874365+00:00,same_outcome,0.0331,62.00,2.05,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.6000,Detroit vs Cleveland (DET),Polymarket,SELL,0.6500
25,2025-07-06T00:38:33.890855+00:00,same_outcome,0.0431,62.00,2.67,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.5900,Detroit vs Cleveland (DET),Polymarket,SELL,0.6500
