trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b,,,,volume,net_profit_per_share,
194,2025-07-06T01:35:50.649307+00:00,same_outcome,0.1473,11,1.62,0.14,Houston vs Los Angeles (LAD),Polymarket,BUY,0.06,Houston vs Los Angeles (LAD),Kalshi,SELL,0.22,,,,11,0.1473,0.00011
398,2025-07-06T02:15:49.991615+00:00,same_outcome,0.1269,89.84,11.4,1.18,San Francisco vs Oakland (SF),Polymarket,BUY,0.61,San Francisco vs Oakland (SF),Kalshi,SELL,0.75,,,,100.84,0.1269,0.0010084
126,2025-07-06T01:25:36.967636+00:00,same_outcome,0.1227,165.05,20.25,2.86,Houston vs Los Angeles (LAD),Polymarket,BUY,0.41,Houston vs Los Angeles (LAD),Kalshi,SELL,0.55,,,,265.89,0.1227,0.0026589
129,2025-07-06T01:25:37.105632+00:00,same_outcome,0.1226,190.05,23.31,3.3,Houston vs Los Angeles (HOU),Kalshi,BUY,0.45,Houston vs Los Angeles (HOU),Polymarket,SELL,0.59,,,,455.94,0.1226,0.0045594
200,2025-07-06T01:35:50.649943+00:00,same_outcome,0.119,10,1.19,0.11,Houston vs Los Angeles (HOU),Kalshi,BUY,0.81,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,465.94,0.119,0.0046594
195,2025-07-06T01:35:50.649307+00:00,same_outcome,0.1187,15,1.78,0.17,Houston vs Los Angeles (LAD),Polymarket,BUY,0.06,Houston vs Los Angeles (LAD),Kalshi,SELL,0.19,,,,480.94,0.1187,0.0048094
339,2025-07-06T02:03:19.355195+00:00,same_outcome,0.1187,62,7.36,0.7,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2,,,,542.94,0.1187,0.0054294
204,2025-07-06T01:35:51.232445+00:00,same_outcome,0.118,5,0.59,0.06,Houston vs Los Angeles (LAD),Polymarket,BUY,0.06,Houston vs Los Angeles (LAD),Kalshi,SELL,0.19,,,,547.94,0.118,0.0054794
196,2025-07-06T01:35:50.649307+00:00,same_outcome,0.1097,932.9,102.31,9.64,Houston vs Los Angeles (LAD),Polymarket,BUY,0.06,Houston vs Los Angeles (LAD),Kalshi,SELL,0.18,,,,1480.84,0.1097,0.0148084
337,2025-07-06T02:03:19.292274+00:00,same_outcome,0.1092,191,20.86,2.06,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.19,,,,1671.84,0.1092,0.0167184
206,2025-07-06T01:35:51.557589+00:00,same_outcome,0.109,10,1.09,0.11,Houston vs Los Angeles (HOU),Kalshi,BUY,0.82,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,1681.84,0.109,0.0168184
399,2025-07-06T02:15:49.991615+00:00,same_outcome,0.1067,12,1.28,0.16,San Francisco vs Oakland (SF),Polymarket,BUY,0.63,San Francisco vs Oakland (SF),Kalshi,SELL,0.75,,,,1693.84,0.1067,0.0169384
208,2025-07-06T01:35:54.032970+00:00,same_outcome,0.105,2,0.21,0.03,Houston vs Los Angeles (HOU),Kalshi,BUY,0.82,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,1695.84,0.105,0.0169584
36,2025-07-06T00:38:32.870628+00:00,same_outcome,0.1026,837.69,85.91,14.61,Detroit vs Cleveland (CLE),Polymarket,BUY,0.35,Detroit vs Cleveland (CLE),Kalshi,SELL,0.47,,,,2533.53,0.1026,0.0253353
209,2025-07-06T01:35:54.453498+00:00,same_outcome,0.1001,900,90.11,8.89,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,3433.53,0.1001,0.0343353
201,2025-07-06T01:35:50.649943+00:00,same_outcome,0.1,41,4.1,0.41,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,3474.53,0.1,0.0347453
340,2025-07-06T02:03:19.391187+00:00,same_outcome,0.0997,201,20.03,2.08,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.18,,,,3675.53,0.0997,0.0367553
322,2025-07-06T02:03:14.349926+00:00,same_outcome,0.095,2,0.19,0.03,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.18,,,,3677.53,0.095,0.0367753
