trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b,,,volume,net_profit_per_share,total net,avg_profit per share
192,2025-07-06T01:35:50.649307+00:00,same_outcome,0.1473,11,1.62,0.14,Houston vs Los Angeles (LAD),Polymarket,BUY,0.06,Houston vs Los Angeles (LAD),Kalshi,SELL,0.22,,,11,0.1473,1.62,0.147272727
442,2025-07-06T02:15:49.991615+00:00,same_outcome,0.1269,89.84,11.4,1.18,San Francisco vs Oakland (SF),Polymarket,BUY,0.61,San Francisco vs Oakland (SF),Kalshi,SELL,0.75,,,100.84,0.1269,13.02,0.12911543
120,2025-07-06T01:25:36.967636+00:00,same_outcome,0.1227,155.05,19.02,2.69,Houston vs Los Angeles (LAD),Polymarket,BUY,0.41,Houston vs Los Angeles (LAD),Kalshi,SELL,0.55,,,255.89,0.1227,32.04,0.125210051
194,2025-07-06T01:35:50.649943+00:00,same_outcome,0.119,10,1.19,0.11,Houston vs Los Angeles (HOU),Kalshi,BUY,0.81,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,265.89,0.119,33.23,0.124976494
193,2025-07-06T01:35:50.649943+00:00,same_outcome,0.1187,15,1.78,0.17,Houston vs Los Angeles (LAD),Polymarket,BUY,0.06,Houston vs Los Angeles (LAD),Kalshi,SELL,0.19,,,280.89,0.1187,35.01,0.124639539
373,2025-07-06T02:03:19.355195+00:00,same_outcome,0.1187,62,7.36,0.7,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2,,,342.89,0.1187,42.37,0.123567325
371,2025-07-06T02:03:19.292274+00:00,same_outcome,0.1092,191,20.86,2.06,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.19,,,533.89,0.1092,63.23,0.118432636
205,2025-07-06T01:35:51.557589+00:00,same_outcome,0.109,10,1.09,0.11,Houston vs Los Angeles (HOU),Kalshi,BUY,0.82,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,543.89,0.109,64.32,0.118259207
443,2025-07-06T02:15:49.991957+00:00,same_outcome,0.1067,12,1.28,0.16,San Francisco vs Oakland (SF),Polymarket,BUY,0.63,San Francisco vs Oakland (SF),Kalshi,SELL,0.75,,,555.89,0.1067,65.6,0.118008959
207,2025-07-06T01:35:54.032970+00:00,same_outcome,0.105,2,0.21,0.03,Houston vs Los Angeles (HOU),Kalshi,BUY,0.82,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,557.89,0.105,65.81,0.117962322
27,2025-07-06T00:38:32.870628+00:00,same_outcome,0.1026,836.69,85.81,14.59,Detroit vs Cleveland (CLE),Polymarket,BUY,0.35,Detroit vs Cleveland (CLE),Kalshi,SELL,0.47,,,1394.58,0.1026,151.62,0.108720905
195,2025-07-06T01:35:50.650419+00:00,same_outcome,0.1001,82.9,8.3,0.82,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,1477.48,0.1001,159.92,0.108238352
208,2025-07-06T01:35:54.453498+00:00,same_outcome,0.1001,459.02,45.95,4.54,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,1936.5,0.1001,205.87,0.106310354
210,2025-07-06T01:35:54.656872+00:00,same_outcome,0.1001,440.98,44.15,4.36,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,2377.48,0.1001,250.02,0.105161768
374,2025-07-06T02:03:19.391187+00:00,same_outcome,0.0997,201,20.03,2.08,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.18,,,2578.48,0.0997,270.05,0.104732245
